Lineage	Domains order
Class_I/LTR/Ty1_copia/Ale	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Alesia	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Angela	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Bianca	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Bryco	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Gymco-I	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Gymco-II	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Gymco-III	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Gymco-IV	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Ikeros	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Ivana	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Lyco	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Osser	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/SIRE	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/TAR	GAG PROT INT RT RH
Class_I/LTR/Ty1_copia/Tork	GAG PROT INT RT RH
Class_I/LTR/Ty3_gypsy/chromovirus/Chlamyvir	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/chromovirus/chromo-unclass	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/chromovirus/CRM	GAG PROT RT RH INT CHDCR
Class_I/LTR/Ty3_gypsy/chromovirus/Galadriel	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/chromovirus/Reina	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/chromovirus/Tcn1	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/chromovirus/Tekay	GAG PROT RT RH INT CHD
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila	GAG PROT RT RH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre	GAG PROT RT RH aRH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand	GAG PROT RT RH aRH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/TatI	GAG PROT aRH RT RH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/TatII	GAG PROT aRH RT RH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/TatIII	GAG PROT RT RH INT aRH
Class_I/LTR/Ty3_gypsy/non-chromovirus/Phygy	GAG PROT RT RH INT
Class_I/LTR/Ty3_gypsy/non-chromovirus/Selgy	GAG PROT RT RH INT
